filename,Violate MR-1 by 3 colors,Violate MR-1 by 15 colors,Violate MR-2 by 3 colors,Violate MR-2 by 15 colors
ILSVRC2012_val_00000669.JPEG,False,False,False,False
ILSVRC2012_val_00000670.JPEG,False,False,False,False
ILSVRC2012_val_00000671.JPEG,False,False,False,False
ILSVRC2012_val_00000672.JPEG,False,False,False,False
ILSVRC2012_val_00000673.JPEG,False,False,False,False
ILSVRC2012_val_00000674.JPEG,False,False,False,False
ILSVRC2012_val_00000675.JPEG,False,False,False,False
ILSVRC2012_val_00000676.JPEG,False,False,True,True
ILSVRC2012_val_00000679.JPEG,False,False,False,False
ILSVRC2012_val_00000680.JPEG,False,False,False,False
ILSVRC2012_val_00000681.JPEG,False,False,False,False
